[2026-02-09T09:19:51+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 132, "message_sha256_12": "0...
[2026-02-09T09:19:52+08:00] root | TMUX_SEND | global | {"target": "agent_system_devops", "clear_line": true, "message_len": 132, "message_sha256_12": "08ab...
[2026-02-09T09:19:53+08:00] root | TMUX_SEND | global | {"target": "agent_system_frontdesk", "clear_line": true, "message_len": 132, "message_sha256_12": "0...
[2026-02-09T09:19:53+08:00] root | TMUX_SEND | global | {"target": "agent_system_pmo", "clear_line": true, "message_len": 132, "message_sha256_12": "08ab6e3...
[2026-02-09T09:19:54+08:00] root | TMUX_SEND | global | {"target": "agent_system_qa", "clear_line": true, "message_len": 132, "message_sha256_12": "08ab6e3a...
[2026-02-09T09:19:55+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_architect", "clear_line": true, "message_len": 132, "message_sha256_12": "...
[2026-02-09T09:19:56+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_devops", "clear_line": true, "message_len": 132, "message_sha256_12": "08a...
[2026-02-09T09:19:57+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_pmo", "clear_line": true, "message_len": 132, "message_sha256_12": "08ab6e...
[2026-02-09T09:19:57+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_qa", "clear_line": true, "message_len": 132, "message_sha256_12": "08ab6e3...
[2026-02-09T09:19:58+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_researcher", "clear_line": true, "message_len": 132, "message_sha256_12": ...
[2026-02-09T12:40:05+08:00] root | TMUX_SEND | global | {"target": "agent_system_frontdesk", "clear_line": true, "message_len": 90, "message_sha256_12": "b3...
[2026-02-09T13:06:32+08:00] root | TMUX_SEND | global | {"target": "agent_system_devops", "clear_line": true, "message_len": 6, "message_sha256_12": "ddf783...
[2026-02-09T13:06:34+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_devops", "clear_line": true, "message_len": 6, "message_sha256_12": "ddf78...
[2026-02-09T13:06:44+08:00] root | TMUX_SEND | global | {"target": "agent_system_devops", "clear_line": true, "message_len": 134, "message_sha256_12": "873c...
[2026-02-09T13:06:49+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_devops", "clear_line": true, "message_len": 134, "message_sha256_12": "873...
[2026-02-09T13:07:19+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_devops", "clear_line": true, "message_len": 1, "message_sha256_12": "5fece...
[2026-02-09T13:07:49+08:00] root | TMUX_SEND | global | {"target": "agent_xkquant_devops", "clear_line": true, "message_len": 89, "message_sha256_12": "6180...
[2026-02-09T13:15:51+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 6, "message_sha256_12": "ddf...
[2026-02-09T13:16:04+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 242, "message_sha256_12": "9...
[2026-02-09T13:19:04+08:00] root | TMUX_SEND | global | {"target": "agent_system_devops", "clear_line": true, "message_len": 197, "message_sha256_12": "eb97...
[2026-02-09T13:22:17+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 233, "message_sha256_12": "3...
[2026-02-09T13:27:57+08:00] root | TMUX_SEND | global | {"target": "agent_system_devops", "clear_line": true, "message_len": 6, "message_sha256_12": "ddf783...
[2026-02-09T13:28:18+08:00] root | TMUX_SEND | global | {"target": "agent_system_devops", "clear_line": true, "message_len": 69, "message_sha256_12": "76c48...
[2026-02-09T13:47:12+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 6, "message_sha256_12": "ddf...
[2026-02-09T13:47:47+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 4, "message_sha256_12": "c84...
[2026-02-09T13:48:03+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 71, "message_sha256_12": "5a...
[2026-02-09T13:56:46+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 4, "message_sha256_12": "c84...
[2026-02-09T13:56:59+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 107, "message_sha256_12": "a...
[2026-02-09T14:06:23+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 4, "message_sha256_12": "c84...
[2026-02-09T14:06:25+08:00] root | TMUX_SEND | global | {"target": "agent_system_pmo", "clear_line": true, "message_len": 6, "message_sha256_12": "ddf7839cb...
[2026-02-09T14:06:40+08:00] root | TMUX_SEND | global | {"target": "agent_system_architect", "clear_line": true, "message_len": 79, "message_sha256_12": "8d...
[2026-02-09T14:06:41+08:00] root | TMUX_SEND | global | {"target": "agent_system_pmo", "clear_line": true, "message_len": 78, "message_sha256_12": "3dd56a61...
[2026-02-09T14:08:47+08:00] root | TMUX_SEND | org | {"target": "agent_system_pmo", "clear_line": true, "message_len": 181, "message_sha256_12": "ad766c0...
